country,countryCode,pisaMathScore,pisaReadingScore,pisaScienceScore,pisaGeneralAverageScore,skippedMealsNever,skippedMealsOncePerWeek,skippedMealsTwoToThreePerWeek,skippedMealsFourToFivePerWeek,skippedMealsAlways,skippedMealsAtLeastOnce,familySupport,senseOfBelonging,parentsFrequentlyAskingAboutDay,availableFoodMiscellaneous,availableFoodAlcoholicBeverages,availableFoodAnimalFats,availableFoodVegetableOils,availableFoodOilcrops,availableFoodFishAndSeafood,availableFoodSugarCrops,availableFoodSugarAndSweeteners,availableFoodStarchyRoots,availableFoodOtherMeat,availableFoodMeatSheepAndGoat,availableFoodMeatPig,availableFoodMeatPoultry,availableFoodMeatBeef,availableFoodEggs,availableFoodMilk,availableFoodNuts,availableFoodFruit,availableFoodVegetables,availableFoodPulses,availableFoodCerealsOther,availableFoodBarley,availableFoodMaize,availableFoodRice,availableFoodWheat,foodGramsPerDayFruits,foodGramsPerDayNonStarchyVegetables,foodGramsPerDayPotatoes,foodGramsPerDayOtherStarchyVegetables,foodGramsPerDayBeansAndLegumes,foodGramsPerDayNutsAndSeeds,foodGramsPerDayRefinedGrains,foodGramsPerDayWholeGrains,foodGramsPerDayProcessedMeats,foodGramsPerDayUnprocessedRedMeats,foodGramsPerDaySeafoods,foodGramsPerDayEggs,foodGramsPerDayCheese,foodGramsPerDayYoghurt,foodGramsPerDaySugarSweetenedBeverages,foodGramsPerDayFruitJuices,foodGramsPerDayTea,foodGramsPerDaySaturatedFat,percentageOfSchoolTimeSpentUsingDigitalDevices,pisaMathScore2003,pisaMathScore2006,pisaMathScore2009,pisaMathScore2012,pisaMathScore2015,pisaMathScore2018,pisaMathScore2022,pisaReadingScore2003,pisaReadingScore2006,pisaReadingScore2009,pisaReadingScore2012,pisaReadingScore2015,pisaReadingScore2018,pisaReadingScore2022,pisaScienceScore2006,pisaScienceScore2009,pisaScienceScore2012,pisaScienceScore2015,pisaScienceScore2018,pisaScienceScore2022,pisaGeneralAverage2006,pisaGeneralAverage2009,pisaGeneralAverage2012,pisaGeneralAverage2015,pisaGeneralAverage2018,pisaGeneralAverage2022
Canada,CHL,"497,0","507,0","515,0","506,3","91,4","2,8","1,3","0,5","4,1","8,6","0,0","-0,2","78,5","9,904603","96,07465","175,31148","172,3401","22,780588","25,751968",,"419,95517","112,912476","4,774019","1,8026378","151,95642","151,20367","122,36147","34,66611","187,197","27,08909","110,93156","67,3513","46,551636","14,71824","12,697701","95,916176","86,100716","949,5741",121.2633571,150.9320111,24.29468761,100.832094,18.04161427,12.10820606,357.6257074,18.63428135,64.28352454,26.44770452,18.76342755,46.34896809,13.21860357,57.52012904,423.388826,6.233206884,16.76798607,9.919512065,47,532,527,527,518,516,512,497,528,527,524,523,527,520,507,534,529,525,528,518,515,529,527,522,523,517,506
Chile,CHN,"412,0","448,0","444,0","434,7","86,9","4,8","1,3","0,6","6,3","13,1","-0,1","-0,2","67,4","2,020203","84,848526","37,373756","233,33345","132,3233","56,565685","3,0303047","81,81822","159,59604","1,5656573","21,59597","342,80826","70,87882","32,787895","88,88893","55,555584","14,070715","110,10107","252,52538","13,13132","2,3636374","2,838385","51,03033","889,1015","578,1619",101.5041418,311.3534257,19.40230986,20.59132772,17.12299928,8.322128396,417.2656355,5.740021221,10.47557022,157.5233029,38.13425706,42.76360328,2.154427268,8.901349645,20.61485138,0.932521543,30.89030119,11.1232691,27,,411,421,423,423,417,412,,442,449,441,459,452,448,438,447,445,447,444,444,431,439,436,443,438,434
Chinese Taipei,COL,"547,0","515,0","537,0","533,0","90,3","5,1","2,3","0,6","1,7","9,7","-0,2","0,0","62,2","1,9981242","61,941853","26,974678","385,638","20,980305","17,983118","0,9990621","525,5067","196,81525","0,30970928","0,07992497","64,7692","116,750404","80,35457","52,950294","182,82837","2,5276272","205,80681","37,964363","54,948418","0,96909034","9,700893","307,4314","330,31992","236,92758",118.9845072,110.7243297,44.06364625,142.0290682,36.05631263,41.11051175,349.9460224,16.27030879,94.83676377,137.2439772,48.18126661,37.58581787,10.09547393,44.08632997,996.3157713,69.50265787,14.2004523,8.231659522,41,,549,543,560,542,531,547,,496,495,523,497,503,515,532,520,523,532,516,537,526,520,535,524,516,533
Colombia,CRI,"383,0","409,0","411,0","401,0","86,7","6,1","2,7","0,8","3,7","13,3","0,3","-0,2","79,3","3,9773676","83,52472","113,35498","427,56702","17,898155","42,756702",,"479,2728","27,841574","0,009943419","0,039773677","46,20707","117,73009","38,252335","44,745388","318,18942","9,724664","86,50775","43,751045","96,451164","0,42756703","23,158224","120,19605","433,24472","405,39322",151.4013669,185.8243623,26.76862844,55.96196569,30.14848155,6.295922272,294.3490974,19.99925545,48.40098584,98.57173729,78.71025854,35.77148184,13.6856131,23.01645111,308.5716345,27.14947011,18.66767542,10.09451694,39,,370,381,376,390,391,383,,385,413,403,425,412,409,388,402,399,416,413,411,381,399,393,410,406,401
Costa Rica,HRV,"385,0","415,0","411,0","403,7",,,,,,"0,0",,"-0,1",,,"168,34438","210,43047","259,5309","29,059446","37,075844",,"432,88553","75,15374","4,559327","9,920293","201,76274","56,926453","66,796646","32,065594","311,6375","29,56047","103,211136","154,31567","13,0266485","0,19038947","6,603509","57,156925","27,997274","779,61487",54.96901244,468.2464824,74.04931583,48.19690718,9.753122745,15.96725325,179.169654,42.98589399,123.621765,260,33.60033549,30.69019429,28.89348305,90.70123438,172.9570078,42.20805927,19.73896869,13.22843334,30,,,409,407,400,402,385,,,443,441,427,426,415,,430,429,420,416,411,,427,426,416,415,404
Croatia,HR,"463,0","475,0","483,0","473,7","95,8","2,4","0,8","0,2","0,8","4,2","0,3","0,1","84,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,467,460,471,464,464,463,,477,476,485,487,479,475,493,486,491,475,472,483,479,474,482,475,472,474
Cyprus,CYP,"418,0","381,0","411,0","403,3","87,6","3,8","1,9","0,8","5,8","12,4","0,0","-0,1",,"30,244","115,12232","67,31729","375,61096","48,780643","44,878193",,"217,56168","30,244","1,4243948","24,702518","153,23953","99,32715","29,531803","25,365936","366,83044","23,209831","83,90271","65,366066","28,292774","7,5414877","74,84902","99,44422","60,69288","874,40283",42.26428408,78.88440255,87.80950502,6.129339936,28.4575738,4.034729383,91.57614802,100.1974211,11.10653805,70.99165931,16.00032208,14.23982787,35.51686475,32.50384352,185.9716306,58.83769046,20.09389263,11.72448898,,,,,440,437,451,418,,,,449,443,424,381,,,438,433,439,411,,,442,438,438,403
Czech Republic,CZE,"487,0","489,0","498,0","491,3","90,7","3,5","1,4","0,4","3,9","9,3","0,0","-0,3","76,6","10,169053","333,54495","290,83493","564,38245","21,355013","21,355013",,"340,6633","115,92721","3,823564","2,115163","200,18799","88,470764","30,059721","39,65931","332,52805","18,487339","100,67363","61,01432","25,422634","1,6982319","1,7592462","0,14236675","50,855434","610,072",68.93477742,67.2340873,76.74216166,42.39087187,11.37191558,5.088234551,20.58015275,30.90939773,39.34543984,81.55730907,17.82895246,26.51941154,19.99332811,99.19923728,120.3202211,36.81180944,16.39849913,13.73185943,31,516,510,493,499,492,499,487,489,483,478,493,487,490,489,513,500,508,493,497,498,502,490,500,491,495,491
Denmark,DNK,"489,0","489,0","494,0","490,7","94,7","1,0","0,5","0,3","3,4","5,3","0,0","0,1","80,4",,"159,08163","424,54913","178,96684","26,845026","74,56952",,"491,16455","120,30549","3,8080165","4,2653766","131,34178","91,67079","71,56686","61,644135","469,29083","46,62086","110,362885","72,58099","13,919643","1,3223661","0,3380485","41,391056","48,02277","554,1609",64.15115982,79.17260879,45.24534916,11.87335977,16.03193401,7.530018631,19.05724295,37.39673748,33.29870302,50.13009108,22.76889045,13.67659371,26.1511717,42.93059856,123.5025066,47.30492986,20.08177747,13.43700874,75,514,513,503,500,511,509,489,492,494,495,496,500,501,489,496,499,498,502,493,494,501,499,498,504,501,491
Dominican Republic,DOM,"339,0","351,0","360,0","350,0","82,6","6,8","3,7","1,1","5,8","17,4","0,0","-0,2","64,6","17,751661","103,55136","35,503323","404,3434","100,59275","15,779255",,"381,66074","81,85488","0,28599897","0,9270312","36,962902","109,823616","36,312008","49,31017","181,46143","1,6962699","479,29486","68,048035","106,50997","0,15779254","0,39448136","20,384825","480,0937","193,94676",173.7576105,122.7501066,42.98972646,84.3592435,64.55617412,1.123528565,419.5129574,9.498547043,36.63144838,71.28962737,19.57092952,24.06006846,11.9464898,8.613180583,319.6086285,71.05748875,14.28547146,10.0261449,62,,,,,328,325,339,,,,,358,342,351,,,,332,336,360,,,,339,334,350
