country,countryCode,pisaMathScore,pisaReadingScore,pisaScienceScore,pisaGeneralAverageScore,skippedMealsNever,skippedMealsOncePerWeek,skippedMealsTwoToThreePerWeek,skippedMealsFourToFivePerWeek,skippedMealsAlways,skippedMealsAtLeastOnce,familySupport,senseOfBelonging,parentsFrequentlyAskingAboutDay,availableFoodMiscellaneous,availableFoodAlcoholicBeverages,availableFoodAnimalFats,availableFoodVegetableOils,availableFoodOilcrops,availableFoodFishAndSeafood,availableFoodSugarCrops,availableFoodSugarAndSweeteners,availableFoodStarchyRoots,availableFoodOtherMeat,availableFoodMeatSheepAndGoat,availableFoodMeatPig,availableFoodMeatPoultry,availableFoodMeatBeef,availableFoodEggs,availableFoodMilk,availableFoodNuts,availableFoodFruit,availableFoodVegetables,availableFoodPulses,availableFoodCerealsOther,availableFoodBarley,availableFoodMaize,availableFoodRice,availableFoodWheat,foodGramsPerDayFruits,foodGramsPerDayNonStarchyVegetables,foodGramsPerDayPotatoes,foodGramsPerDayOtherStarchyVegetables,foodGramsPerDayBeansAndLegumes,foodGramsPerDayNutsAndSeeds,foodGramsPerDayRefinedGrains,foodGramsPerDayWholeGrains,foodGramsPerDayProcessedMeats,foodGramsPerDayUnprocessedRedMeats,foodGramsPerDaySeafoods,foodGramsPerDayEggs,foodGramsPerDayCheese,foodGramsPerDayYoghurt,foodGramsPerDaySugarSweetenedBeverages,foodGramsPerDayFruitJuices,foodGramsPerDayTea,foodGramsPerDaySaturatedFat,percentageOfSchoolTimeSpentUsingDigitalDevices,pisaMathScore2003,pisaMathScore2006,pisaMathScore2009,pisaMathScore2012,pisaMathScore2015,pisaMathScore2018,pisaMathScore2022,pisaReadingScore2003,pisaReadingScore2006,pisaReadingScore2009,pisaReadingScore2012,pisaReadingScore2015,pisaReadingScore2018,pisaReadingScore2022,pisaScienceScore2006,pisaScienceScore2009,pisaScienceScore2012,pisaScienceScore2015,pisaScienceScore2018,pisaScienceScore2022,pisaGeneralAverage2006,pisaGeneralAverage2009,pisaGeneralAverage2012,pisaGeneralAverage2015,pisaGeneralAverage2018,pisaGeneralAverage2022
Iceland,ISL,"459,0","436,0","447,0","447,3","96,1","2,0","0,5","0,2","1,2","3,9","-0,1","0,2","73,3","24,196005","136,80049","212,18036","249,40498","33,502163","174,02512",,"345,2584","59,5594","7,1285152","129,77434","205,49855","97,11904","75,78003","37,224625","579,7735","25,396502","132,14742","54,90632","5,5836935","0,21404159",,,"42,75248","648,4157",56.52005554,47.34015711,22.56348136,54.08425982,4.850706386,1.340256387,99.12975321,65.7097477,28.38905538,59.78729129,33.64226957,18.05879434,33.79080628,45.09292115,230.4578072,60.02722274,15.97772785,15.88295274,59,515,506,507,493,488,495,459,492,484,500,483,482,474,436,491,496,478,473,475,447,494,501,484,481,481,447
Indonesia,IDN,"366,0","359,0","383,0","369,3","79,7","8,4","4,0","1,5","6,4","20,3","-0,3","-0,1","57,1",,"2,0122538","4,0245075","349,12604","89,545296","85,52078",,"263,60526","202,2315","0,020122537","2,4247658","8,753304","46,674225","14,307124","63,385994","20,122538","3,6421793","93,5698","44,26958","9,055141","1,9418248","0,44269583","170,11594","1223,7522","217,2731",81.60573533,171.2816607,32.5803582,52.23701866,32.36998868,5.013651618,324.8409003,20.8144711,59.29780334,35.6132392,61.03852987,33.84217456,1.22475827,2.692101461,76.88823095,14.44217914,16.55181521,18.29321199,80,360,391,371,375,386,379,366,382,393,402,396,397,371,359,393,383,382,403,396,383,392,385,384,395,382,369
Ireland,IRL,"492,0","516,0","504,0","504,0","93,1","2,3","0,7","0,1","3,7","6,9","0,1","-0,1","88,9","13,976414","239,59566","203,65631","476,19638","36,937664","52,91071",,"426,2806","112,80962","1,9367317","19,157671","141,16177","114,177315","112,909454","36,937664","522,1189","22,791536","133,77425","76,87028","14,974729","47,080547","31,007671","86,11468","43,147186","729,1195",56.0027393,79.05207119,111.8104307,10.30969673,21.40537425,11.72681283,61.74399719,16.59899678,40.2414458,37.20552157,9.587076824,14.89479578,43.81681041,40.31666924,200.7096235,39.47256329,14.67885307,14.71409905,25,503,501,487,501,504,500,492,515,517,496,523,521,518,516,508,508,522,503,496,504,509,497,516,509,505,504
Israel,ISR,"458,0","474,0","465,0","465,7",,,,,,"0,0",,,,"14,825366","50,406246","56,33639","538,65497","120,57965","42,499382",,"364,704","63,254898","0,04941789","9,626604","15,378847","235,9309","146,21765","44,4761","279,70526","50,623688","188,77634","104,76592","37,557594","2,668566","1,8284619","112,65302","167,56616","843,87964",131.109216,82.45451706,194.8803732,79.89324663,96.44598168,28.28874797,309.902027,43.40287412,92.83070107,194.8738541,151.8739756,72.49608476,79.19118746,168.1018442,319.6715388,27.17218923,29.88914494,8.221558669,25,,442,447,466,470,463,458,,439,474,486,479,470,474,454,455,470,467,462,465,445,459,474,472,465,465
Italy,ITA,"471,0","482,0","477,0","476,7",,,,,,"0,0","0,0","-0,1","81,2","5,0807767","131,08405","135,14867","710,2926","16,258486","57,920853",,"340,41205","72,147026","2,8553965","5,0096455","145,30006","68,21451","87,31823","44,710835","326,18585","61,446915","158,52023","65,03394","74,17934","18,361927","8,586513","26,216806","56,40678","980,9862",135.322568,95.37605465,32.41802578,11.43362594,12.50024903,3.024895184,381.4263878,7.776828042,23.29989929,51.63734594,41.3995898,13.25194964,22.91234495,14.77025632,101.9028669,19.8949698,11.71232307,11.25624569,47,466,462,483,485,490,487,471,476,469,486,490,485,476,482,475,489,494,481,468,477,469,486,490,485,477,477
Jamaica,JAM,"377,0","410,0","403,0","396,7","54,7","9,5","6,5","3,0","26,3","45,3","0,0","-0,3","66,4","17,848251","60,894035","76,642494","302,3704","31,496916","50,395065",,"434,65744","207,87964","0,05249486","4,430566","10,771945","196,08931","23,160732","10,498972","159,58437","3,1916873","154,33488","64,04373","35,696503","6,162896","0,24147636","101,80853","242,50525","538,58673",208.9427769,168.8602938,19.76743809,46.70782663,15.6474006,3.074609624,313.1103836,16.85521176,18.00963904,17.35387575,54.49871565,30.31657013,10.77920492,19.7758951,466.3353927,27.7704399,14.27960986,5.307856348,58,,,,,,,377,,,,,,,410,,,,,,403,,,,,,397
Japan,JPN,"536,0","516,0","547,0","533,0",,,,,,"0,0","-0,5","0,2","69,4","3,029503","88,865425","31,304865","372,62888","117,140785","128,24896",,"265,58643","56,550724","0,34334368","0,9896377","99,761536","79,90819","31,234177","79,77692","122,18996","14,794073","47,462215","73,71791","12,118012","6,1296945","5,655072","84,92707","556,60046","382,68683",101.9429245,273.8985209,22.61785299,11.09857654,58.95885165,1.774692007,494.2680719,4.471843535,35.82473892,133.1471091,47.06754666,45.89050841,3.414153019,81.14543994,201.1789395,27.85265301,59.05460566,9.687525609,33,534,523,529,536,532,527,536,498,498,520,538,516,504,516,531,539,547,538,529,547,517,529,540,529,520,533
Jordan,JOR,"361,0","342,0","375,0","359,3","73,4","10,3","6,2","3,7","6,5","26,6","-0,2","-0,2","59,3","6,5352473","1,8672136","29,875418","438,7952","41,078697","10,269674",,"355,7042","35,47706","0,3174263","30,444918","0,084024616","84,83685","37,661697","17,73853","110,1656","22,443909","56,016407","64,41887","58,817226","0,12136888","1,2883774","12,743732","185,71306","674,25085",184.2277853,127.0899688,28.16745891,33.3948479,34.99626995,11.01893169,441.0695172,16.43305254,33.55831252,82.06215122,66.83173249,32.21641462,14.29549735,41.41991595,479.6146992,46.3570214,20.78131517,8.319589689,39,,384,387,386,380,400,361,,,,,,,342,,,,,,375,384,387,386,380,400,359
Kazakhstan,KAZ,"425,0","386,0","423,0","411,3","87,7","5,9","2,3","0,9","3,2","12,3","0,1","-0,1","68,5","6,9252987","99,922165","85,082245","473,8883","9,893284","4,946642",,"275,0333","194,89769","16,32392","61,447186","47,032673","70,84581","160,02386","29,679852","479,82428","36,615044","91,01821","159,28188","57,381046","27,32525","41,33414","10,951865","67,383156","794,70776",58.29173726,114.741156,160.5182702,76.85740505,6.538430908,97.99852115,642.0673135,27.99294172,45.48231697,131.2564956,31.1312522,34.00814312,49.25274246,64.87673548,95.68889187,11.04355906,21.55252712,12.58678858,42,,,405,432,,423,425,,,390,393,,387,386,,400,425,,397,423,,399,416,,402,412
Korea,KOR,"527,0","515,0","528,0","523,3","96,1","2,6","1,0","0,2","0,1","3,9","0,1","0,3","75,0",,"152,2905","82,07865","572,57275","83,06755","110,75673",,"442,03802","42,522675","0,6328956","1,9085758","177,69533","83,828995","73,415886","48,45607","52,411667","40,8811","59,33396","162,1795","12,855692","5,11261","7,3178554","120,042496","635,0514","372,11295",94.58649768,134.6949185,14.6549064,8.002906146,29.45501322,1.190254934,504.4393073,12.90958711,4.462070006,59.47589447,20.58139186,22.58980207,5.068642655,30.64253964,84.24849439,12.93875876,13.72776136,7.484972107,53,542,547,546,554,524,526,527,534,556,539,536,517,514,515,522,538,538,516,519,528,542,541,542,519,520,524
Kosovo,XK,"355,0","342,0","357,0","351,3","71,7","6,8","3,5","1,9","16,1","28,3","0,3",,"74,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,362,366,355,,,,,347,353,342,,,,378,365,357,,,,362,361,351
Latvia,LVA,"483,0","475,0","494,0","484,0","92,6","2,0","1,1","0,4","3,9","7,4","0,1","-0,2","76,6","8,948492","154,11292","220,72948","412,6249","26,845476","55,67951",,"347,00262","152,12436","2,2967796","2,754147","186,49652","89,58435","27,233244","50,708122","340,0427","26,905132","78,547874","79,54215","0,9942769","66,09953","133,10384","8,282327","31,737318","455,95547",54.83156143,148.5274279,114.8754675,55.66084791,11.95386848,11.86299404,42.22866693,63.75255884,68.17951838,257.3446506,29.80329107,32.55930481,36.95451568,98.39245049,94.58671979,34.72198604,15.22420097,14.57798016,45,483,486,482,491,482,496,483,491,479,484,489,488,479,475,490,494,502,490,487,494,485,487,494,487,487,484
Lithuania,LTU,"475,0","472,0","484,0","477,0","89,0","4,0","2,0","0,6","4,5","11,0","0,1","0,0","76,3","2,895777","193,0518","141,89307","233,59268","27,027252","65,63761",,"362,93738","93,63013","3,2336175","3,2143123","284,04675","109,450714","19,60441","45,367172","481,66425","30,502184","74,32494","61,776577","19,30518","11,177699","82,79992","12,529061","36,332348","882,36255",64.51963294,83.85996573,63.9602001,46.2899615,23.96037787,15.57314498,27.3138413,11.74459299,44.16398976,193.1535346,24.53501631,49.73569631,27.39683269,99.07921097,109.1491638,44.62876343,18.65751792,13.7571238,49,,486,477,479,478,481,475,,470,468,477,472,476,472,488,491,496,475,482,484,481,479,484,475,480,477
Macao (China),MAC,"552,0","510,0","543,0","535,0","85,1","9,2","3,5","0,7","1,5","14,9","-0,4","-0,3","45,1","78,73267","86,41391","75,85221","424,3883","41,286644","98,89592",,"247,71986","53,768654","4,4071093","4,4263124","329,12177","173,73036","40,55693","75,85221","69,13113","26,826717","74,89205","88,33421","8,641391","10,801739",0,"3,1493068","475,67978","428,8818",,,,,,,,,,,,,,,,,,,45,527,525,525,538,544,558,552,498,492,487,509,509,525,510,511,511,521,529,544,543,509,508,523,527,542,535
Malaysia,MYS,"409,0","388,0","416,0","404,3","77,3","11,5","6,5","1,5","3,2","22,7","-0,3","-0,3","57,2","18,522718","11,698559","31,196156","520,5859","63,36719","94,56335",,"401,6505","43,869595","0,029246395","6,434207","67,31546","172,8462","25,210394","69,21647","72,14111","7,7795415","51,668633","56,543034","25,346876","6,9801397","0,038995195","139,95375","666,9056","325,30768",119.8609843,171.1750992,37.96652631,20.18136771,28.98679788,52.91227106,635.6711686,12.17506927,31.56748444,27.89664488,95.38292093,29.18743573,2.776360096,10.10582004,171.0269273,36.71594329,11.81296063,13.02605599,49,,,404,421,,440,409,,,414,398,,415,388,,422,420,,438,416,,413,413,,431,404
Malta,MLT,"466,0","445,0","466,0","459,0","90,8","2,2","1,1","0,5","5,4","9,2","0,1","-0,2","73,3","5,997276","89,95914","111,37798","286,15573","30,843132","68,5403",,"412,9553","48,83496","2,1247492","6,160059","130,13232","80,7319","77,433395","37,697163","288,72598","21,444546","84,81862","90,81589","10,281044","6,4427876","0,042837687","34,253014","53,204403","832,4562",93.67616679,58.2136946,34.98074177,11.38116474,3.11055678,6.278938818,387.4697556,66.02662646,44.55914168,60.89325906,27.48330199,12.18607128,23.93419318,39.85085664,399.0099049,111.5404039,15.22306758,13.25766317,28,,,463,,479,472,466,,,442,,447,448,445,,461,,465,457,466,,455,,463,459,459
Mexico,MEX,"395,0","415,0","410,0","406,7","90,1","5,7","2,0","0,4","1,8","9,9","0,0","-0,2","70,8",,"76,74672","52,18777","321,31296","17,395924","27,62882",,"424,6652","32,74527","2,159141","4,482009","175,72952","139,32088","49,414658","76,74672","167,8195","13,793943","119,724884","45,024742","94,14265","16,024715","0,13302764","1049,7212","64,25236","243,64526",178.0930086,224.669059,19.33367359,296.753921,57.23124795,1.86718652,119.8064403,3.468396513,22.57734136,66.40709858,9.542876783,43.84075384,18.5533603,27.10049027,442.7841462,11.61817166,13.08266677,10.01890696,67,385,406,419,413,408,409,395,400,410,425,424,423,420,415,410,416,415,416,419,410,409,420,417,416,416,407
Moldova,MDA,"414,0","411,0","417,0","414,0","90,3","4,6","1,7","0,7","2,7","9,7","0,0","-0,1","69,3","11,769021","111,15186","132,07457","360,91663","6,538345","30,076385",,"309,91754","108,53652","0,6669111","1,5299727","164,92322","76,44633","12,841309","40,53774","241,91876","11,272106","122,92088","67,99879","41,845406","18,948122","1,4253592","449,02737","30,782528","1014,2804",90.77725534,58.40248926,66.58597919,49.24110769,108.1095249,21.31010525,131.5641165,46.00279671,71.91612104,121.7245918,23.40885299,29.64301188,35.77030876,76.45843118,44.98329459,41.49226553,19.68294382,10.99521077,45,,,397,,420,421,414,,,388,,416,424,411,,413,,428,428,417,,399,,421,424,414
Mongolia,MNG,"425,0","378,0","412,0","405,0","87,0","7,1","3,5","1,1","1,3","13,0","-0,3","-0,2","57,3","8,956152","100,50793","193,05484","181,1133","5,970768","0,99512804",,"128,37152","130,36177","42,880066","429,32806","3,8411942","10,090598","147,12968","21,892817","344,3143","7,3241425","18,907433","50,75153","3,9805121","32,81932","1,4528869","8,777029","75,85861","789,8829",48.46233079,128.6448707,153.3377303,18.79227164,28.11791922,2.365679303,240.3225963,103.5241569,129.8371135,104.1621887,14.88625129,115.9804463,53.11649235,65.72394963,221.2518363,53.76229279,29.02981073,13.30549165,44,,,,,,,425,,,,,,,378,,,,,,412,,,,,,405
Montenegro,MNE,"406,0","405,0","403,0","404,7",,,,,,"0,0","0,3","0,1","78,2","32,94817","139,78012","75,88064","211,66704","23,962305","28,954453",,"305,5194","57,908905","0,9884451","13,538703","356,4393","58,957256","90,5875","41,934036","510,19742","24,83094","160,74713","73,88377","40,935604","41,634506","0,28954452","32,728516","26,518284","1013,3659",230.5710829,89.19861704,339.6418506,41.74984888,36.76459251,18.11206044,106.9476857,195,73.25306595,257.2042711,46.75554936,31.24079386,32.77065443,99.26608556,154.4317894,32.41965477,20.12704023,12.4490922,37,,399,403,410,418,430,406,,392,408,422,427,421,405,412,401,410,411,415,403,401,404,414,419,422,405
Morocco,MAR,"365,0","339,0","365,0","356,3","72,5","12,5","6,2","3,0","5,9","27,5","-0,3","-0,3","57,6","2,0120904","6,036271","46,27808","322,94052","8,048362","40,241806",,"346,07956","74,44734","4,8390775","28,189386","0,16096723","80,93633","40,251865","29,17531","73,4413","40,49332","134,81006","67,40503","75,45339","0,07042316","180,4141","357,53842","21,569609","1354,4889",109.4570857,177.1116204,75.34648122,43.68256559,39.95382982,12.71049164,724.5283112,15.73636693,26.39642762,42.5642507,44.2302654,39.74495898,8.21552568,66.90419373,324.9752403,26.90279634,26.98469261,8.092772641,27,,,,,,368,365,,,,,,359,339,,,,,377,365,,,,,368,357
Netherlands,NLD,"493,0","459,0","488,0","480,0","97,2","0,8","0,4","0,1","1,4","2,8","-0,1","0,1","82,0",,"121,86849","174,94025","399,02103","62,899868","43,24366",,"423,59128","169,0434","23,400715","6,7715635","150,26189","33,6416","89,612656","83,53889","520,8895","46,683495","186,73398","68,79673","26,535881","98,71348","17,602135","20,93386","33,189507","604,10406",75.42587255,75.89941162,39.95040378,1.918578863,5.033718343,3.92481857,99.70493954,69.35651746,26.38638862,45.43412859,8.805778416,9.39345711,34.14648921,127.2799343,199.4990483,71.71874392,19.82239604,13.11601059,47,538,531,526,523,512,519,493,513,507,508,511,503,485,459,525,522,522,509,503,488,521,519,519,508,502,480
New Zealand,NZL,"479,0","501,0","504,0","494,7","85,9","5,4","2,1","0,6","5,9","14,1","0,0","-0,3","80,6",,"78,129364","286,79193","229,6241","64,7902","41,923073",,"520,22723","85,75174","10,604631","83,112495","91,10646","99,72927","56,434174","44,781464","130,5332","37,75935","97,1853","59,07342","32,3951","39,522022","4,4305067","52,27045","114,354706","677,2863",110.3867369,85.67693994,85.24062154,8.57614986,57.18102207,1.779609627,95.26545637,52.82239053,38.23480233,53.63265488,18.14050489,16.48747032,75.97882,37.55782619,118.556504,51.10895515,13.64286914,15.39220029,68,523,522,519,500,495,494,479,522,521,521,512,509,506,501,530,532,516,513,508,504,524,524,509,506,503,495
North Macedonia,MKD,"389,0","359,0","380,0","376,0","78,0","7,1","3,8","1,4","9,7","22,0","0,2","0,1","73,3","7,895","72,04188","91,77937","433,23813","54,278126","10,855625",,"369,09125","102,635","1,7467687","4,3817253","101,14482","67,620674","38,27101","19,7375","249,67938","32,793858","181,585","175,66376","45,39625","0,8783187","161,80803","49,748367","21,9481","728,0571",85.67383171,97.72565599,140.2866269,33.12939319,19.55633508,15.80053364,234.9158841,37.51750222,65.20841177,64.51603424,20.34931228,15.91048386,31.38443003,80.95147303,501.898565,37.2054439,18.90381518,11.32331659,45,,,,,371,394,389,,,,,352,393,359,,,,384,413,380,,,,369,400,376
Norway,NOR,"468,0","477,0","478,0","474,3",,,,,,"0,0","0,0","0,2","77,2","93,715744","120,923546","231,77013","272,07797","43,330936","103,79271",,"292,2319","103,79271","3,446321","29,505344","236,34506","69,50081","50,384808","47,36172","328,50897","31,097506","119,91585","61,469467","149,13904","0,4030785",0,0,"57,025528","911,6325",59.37579073,87.34221985,37.42726836,20.51010138,1.052386307,3.144791242,15.81688963,26.25996637,31.45601812,84.95059149,43.79819298,17.19524399,33.69322051,40.65854472,129.6722031,26.1336089,14.88342368,13.14639822,68,495,490,498,489,502,501,468,500,484,503,504,513,499,477,487,500,495,498,490,478,487,500,496,504,497,474
Palestinian Authority,PSE,"366,0","349,0","369,0","361,3","74,4","9,9","5,7","3,2","6,9","25,6","-0,1","-0,2","62,0",,,,,,,,,,,,,,,,,,,,,,,,,,123.3676463,161.5704606,81.2915019,44.88472252,40.19520188,16.88965814,585.4569381,9.747417197,18.02242478,58.04782378,38.66997832,34.62102915,16.78238588,61.32966567,287.1934867,26.51281728,24.87611372,12.49404209,39,,,,,,,366,,,,,,,349,,,,,,369,,,,,,361
Panama,PAN,"357,0","392,0","388,0","379,0","77,2","9,5","4,8","1,4","7,1","22,8","0,0","-0,2","71,3","21,099655","82,38913","138,65488","358,69415","38,18033","35,166092",,"279,31924","34,161346","6,9026012","0,080379635","65,53955","192,23796","45,55516","22,1044","172,81622","6,7217474","127,60268","25,118637","43,204056","2,5219111","0,23109147","212,27258","722,834","318,5244",147.5333052,164.6259881,32.03717005,47.05233066,70.78466204,12.10686747,411.6525662,19.77585761,55.65525234,100.5182605,27.14689862,15.58181393,10.8071994,25.73704605,637.1599554,31.00557925,14.053301,7.792332084,65,,,360,,,353,357,,,371,,,377,392,,376,,,365,388,,369,,,365,379
Paraguay,PRY,"338,0","373,0","368,0","359,7","87,6","7,2","2,5","0,8","1,9","12,4","0,2","-0,2","64,7","5,388173","135,78195","88,366035","391,18137","10,776346","8,621077",,"176,73207","432,13147","0,50648826","1,8535315","55,110233","37,437027","73,06363","60,347538","122,85034","0,5172646","74,35679","43,105385","99,14238","2,1337166","2,5324411","762,1463","39,947914","312,47092",114.6169277,80.20274573,77.02528605,54.11490811,17.57139043,5.058978493,159.5492314,19.00240716,32.3242786,179.017191,13.31050412,33.1148871,27.11332816,15.47384614,422.7352997,32.65658613,22.19425145,8.815379083,41,,,,,,326,338,,,,,,370,373,,,,,358,368,,,,,351,360
Peru,PER,"391,0","408,0","408,0","402,3","81,2","9,1","4,1","1,2","4,4","18,8","0,1","-0,2","69,1","2,9700117","76,2303","13,860055","217,80087","36,630146","52,470207",,"208,89084","395,01157","3,524414","3,2175128","28,234913","196,48608","13,038352","39,60016","111,870445","2,6928108","180,18071","52,470207","84,15034","11,691947","34,966938","144,46138","512,50525","362,72757",266.2194399,107.6809916,22.87189942,127.2218365,47.15926928,5.272582935,365.8328469,18.35669368,32.55725531,150.8499472,46.36684787,32.77202496,24.34267905,14.77373516,308.682034,21.16976307,14.25309939,6.514450654,35,,,365,368,387,400,391,,,370,384,398,401,408,,369,373,397,404,408,,368,,394,402,402
Philippines,PHL,"355,0","347,0","356,0","352,7","61,5","14,8","8,7","3,2","11,8","38,5","-0,3","-0,4","57,0","1,9534739","52,743793","56,65074","95,72022","33,209057","51,76706",,"226,60297","42,976425","0,019534739","1,2111539","136,42085","52,714493","10,255738","19,534739","27,348635","7,608781","150,4175","46,883373","12,69758","0,009767369","1,0353411","219,57047","1218,9971","290,9211",94.27605274,117.2258033,2.923838266,37.57560455,10.8046662,0.38398933,386.1193958,48.46534264,72.71297901,33.85083525,26.54419939,21.91882671,0.85194549,6.629994889,246.1200927,28.03343519,16.19161285,23.60940511,90,,,,,,353,355,,,,,,340,347,,,,,357,356,,,,,350,352
Poland,POL,"489,0","489,0","499,0","492,3","93,1","2,0","1,1","0,4","3,4","6,9","-0,1","-0,3","75,7",,"177,27502","288,56433","255,07906","15,757779","42,349033",,"449,0967","182,19933","0,3348528","0,19697225","326,0383","116,98181","9,681186","33,485283","339,77713","19,00782","85,68292","74,84945","8,863751","11,0009","29,329168",,"27,132925","830,4251",217.3843365,114.3362651,224.5722625,2.180803169,3.408431408,6.05545411,247.6540623,18.51017651,71.49899579,91.28275745,16.27114801,28.61172913,50.62463674,48.62540242,105.6245899,63.39925595,33.03966043,13.09089407,38,490,495,495,518,504,516,489,497,508,500,518,506,512,489,498,508,526,501,511,499,500,501,521,504,513,492
Portugal,PRT,"472,0","477,0","484,0","477,7","97,4","1,1","0,4","0,1","0,9","2,6","0,4","0,1","84,4","1,9802924","215,85188","208,92085","495,07312","26,733948","103,965355",,"237,63509","109,90623","2,4456613","13,040226","178,89961","112,12415","97,72743","39,60585","280,2114","36,61561","156,4431","88,12302","36,63541","3,3664973","10,010378","119,75818","144,54153","667,5665",293.0604489,104.0121935,110.2795935,12.70897079,10.0878512,2.790200074,142.8964164,24.79597016,19.20961377,64.63248567,38.68127211,16.49230302,21.54506741,61.90344719,172.090103,9.211334689,19.57732875,9.449036094,28,466,466,487,487,492,492,472,478,472,489,488,498,492,477,474,493,489,501,492,484,471,490,488,497,492,478
Qatar,QAT,"414,0","419,0","432,0","421,7","81,5","5,8","3,6","2,0","7,1","18,5","0,0","-0,2","65,9","22,961647","17,743092","55,316696","547,9484","39,661026","35,486183",,"277,6272","62,622673","2,2544165","85,93918","13,609995","192,72127","41,21616","62,622673","172,21236","37,761475","156,55669","113,76453","96,02143","14,110976","1,9099916","26,719007","733,52026","666,013",128.0711752,166.7701352,69.91362556,36.70913526,36.68899534,14.73315272,556.7201109,9.42066832,19.13761629,52.75403872,35.07780635,32.21326828,15.82306813,60.2393203,413.0620179,27.06238954,23.95113272,10.2482228,44,,318,368,376,402,414,414,,312,372,388,402,407,419,349,379,384,418,419,432,326,373,383,407,413,422
Romania,ROU,"428,0","428,0","428,0","428,0","81,8","3,3","1,7","0,9","12,3","18,2","0,2","0,0","75,3","6,9264245","188,99245","147,4339","432,4068","16,821318","15,831828",,"278,04648","184,045","0,5046395","15,821933","148,4036","85,54134","21,21465","49,47446","397,7747","21,60055","172,17113","92,0225","15,831828","10,656799","8,25234","242,3655","34,018642","958,7161",180.1971665,228.7351137,176.3694939,20.61931661,39.30806787,18.78703162,354.2670236,4.590103332,56.12514476,93.32797955,35.27089375,59.51888998,87.61020057,75.28389551,300.81507,15.61062776,14.22551933,11.49283684,56,,415,427,445,444,430,428,,396,424,438,434,428,428,418,428,439,435,426,428,410,427,440,437,428,428
Saudi Arabia,SAU,"389,0","383,0","390,0","387,3","85,1","7,2","4,0","1,6","2,2","14,9","0,0","0,0","65,4","17,408335",,"54,15926","365,575","37,718056","20,309723",,"301,74445","40,619446","13,34639","28,694736",,"144,78899","24,100872","38,68519","148,93797","17,021482","223,40695","64,79769","49,323612","13,665543","0,48356482","247,05327","393,35098","855,16504",152.5607302,146.2157085,127.3105395,34.94467109,58.4282454,20.62136907,455.7689737,15.47127423,67.26150086,51.96022225,50.51150626,47.69506163,17.46034632,66.15845377,378.4281211,24.53021908,25.19820797,11.38491871,36,,,,,,373,389,,,,,,399,383,,,,,386,390,,,,,386,387
Serbia,SRB,"440,0","440,0","447,0","442,3","90,1","3,7","1,3","0,4","4,5","9,9","0,2","0,2","78,1",,"150,80789","78,372604","155,55775","61,748116","18,99942",,"265,99188","97,372025","3,1349044","30,256577","345,67072","58,007603","40,01753","42,748695","338,42715","20,080011","176,9321","62,935577","30,874058","34,044586","13,097725","269,45926","14,962044","1060,1914",137.9378274,378.4951687,152.8379874,85.38780706,38.28922609,6.724564346,428.3651161,195,35.3655819,99.46054853,14.73805645,26.67433194,26.78726824,75.58640037,79.2836605,62.11169118,19.81469178,14.23652275,30,,435,442,449,,448,440,,401,442,446,,439,440,436,443,445,,440,447,424,442,447,,443,443
Singapore,SG,"575,0","543,0","561,0","559,7","87,4","6,1","2,9","0,8","2,8","12,6","-0,2","-0,2","62,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,562,573,564,569,575,,,526,542,535,549,543,,542,551,556,551,561,,543,556,552,556,560
Slovak Republic,SVK,"464,0","447,0","462,0","457,7","95,1","2,7","0,9","0,2","1,0","4,9","-0,1","-0,2","71,1","4,002169","127,06887","446,24185","436,23645","23,012472","20,010845",,"284,15402","99,05369","2,8915672","0,27014643","182,16875","58,661797","16,478931","38,020607","195,10574","14,477847","79,04284","55,029827","18,009762","11,045987","9,825325","1,8610086","24,803444","781,7737",74.16843072,64.6668859,82.59044309,3.683843495,5.491683167,5.681337606,74.22321949,46.48353421,64.79413773,44.55450615,7.600254523,10.81907176,17.50225054,51.52649447,286.0047459,37.95829974,12.4471951,12.95531185,47,498,492,497,482,475,486,464,469,466,477,463,453,458,447,488,490,471,461,464,462,482,488,472,463,469,458
Slovenia,SVN,"485,0","469,0","500,0","484,7","91,9","2,0","1,0","0,4","4,8","8,1","-0,1","0,0","77,0","11,780655","126,64204","160,02055","300,40668","30,433357","24,54303",,"222,85071","87,373184","1,2075171","5,1834884","124,43316","100,2141","46,386326","37,305405","296,4798","32,3968","155,11195","76,57426","8,835491","20,478704","17,759336","204,65942","33,81048","879,6222",71.01421803,72.95557988,112.2060017,115.7800377,22.63341885,15.28585713,162.4564423,38.68026019,41.34853028,75.18900256,28.50228811,42.64456984,22.97646598,97.80262556,243.5603888,107.9812137,19.67921529,13.30704065,27,,504,501,501,510,509,485,,494,483,481,505,495,469,519,512,514,513,507,500,506,499,499,509,504,484
